id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
29;"Dead by Daylight";"Behaviour Interactive";1-5;Horror Multijugador;18;PC, PS4, Xbox, Switch;2016;"Sobrevive como un superviviente o caza como el asesino en este juego asimétrico de horror multijugador, donde la tensión y el sigilo son clave."
30;"No Man's Sky";"Hello Games";1-32;Aventura, Supervivencia;7;PC, PS4, Xbox;2016;"Explora un universo generado proceduralmente, descubre planetas únicos, comercia y sobrevive en este juego de aventura espacial en constante expansión."
31;"Monster Hunter: World";"Capcom";1-4;Acción;16;PC, PS4, Xbox;2018;"Caza monstruos feroces, forja equipo poderoso y explora vastos mundos en este juego de acción y aventura, parte de la aclamada serie Monster Hunter."
32;"Mortal Kombat 11";"NetherRealm Studios";1-2;Lucha;18;PC, PS4, Xbox, Switch;2019;"Participa en brutales combates uno contra uno, realiza fatalities impactantes y elige entre una amplia gama de luchadores en este juego de lucha icónico."
33;"Fall Guys: Ultimate Knockout";"Mediatonic";1-60;Battle Royale;7;PC, PS4, Xbox, Switch;2020;"Compite en desafíos divertidos y caóticos con otros jugadores, supera obstáculos y sé el último en pie en este juego de Battle Royale con un enfoque divertido y colorido."
34;"Ghost of Tsushima";"Sucker Punch Productions";1-1;Acción-Aventura;18;PS4;2020;"Explora el Japón feudal como Jin Sakai, un samurái en busca de venganza, en este juego de acción-aventura con paisajes impresionantes y combates emocionantes."
35;"Cuphead";"Studio MDHR";1-2;Plataformas;7;PC, Xbox, Switch;2017;"Embárcate en un viaje animado en este juego de plataformas con un estilo visual único inspirado en las caricaturas de los años 30, enfrentando a jefes desafiantes."
36;"Resident Evil Village";"Capcom";1-1;Survival Horror;18;PC, PS5, Xbox;2021;"Vive una experiencia aterradora en este juego de survival horror, enfrentándote a horrores sobrenaturales y descubriendo los secretos de un misterioso pueblo."
37;"Stardew Valley";"ConcernedApe";1-4;Simulación;7;PC, PS4, Xbox, Switch;2016;"Escapa a la vida en la ciudad y gestiona tu propia granja, haz amistad con los habitantes del pueblo y explora mazmorras en este encantador juego de simulación."
38;"The Outer Worlds";"Obsidian Entertainment";1-1;RPG de acción;18;PC, PS4, Xbox, Switch;2019;"Explora colonias alienígenas, toma decisiones que afectan la historia y desentraña conspiraciones en este RPG de acción con un toque de humor negro."
39;"The Elder Scrolls Online";"Zenimax Online Studios";1-4;MMORPG;18;PC, PS4, Xbox;2014;"Embárcate en aventuras épicas en el vasto mundo de Tamriel, forma parte de facciones y realiza misiones en este MMORPG basado en la famosa serie de juegos de rol."
40;"Subnautica";"Unknown Worlds Entertainment";1-1;Aventura, Supervivencia;7;PC, PS4, Xbox, Switch;2018;"Sobrevive en un planeta acuático alienígena, explora el fondo del mar, construye bases submarinas y descubre los secretos de un vasto ecosistema."
41;"Persona 5";"Atlus";1-1;RPG;16;PS4;2016;"Únete a un grupo de estudiantes con poderes sobrenaturales, explora mazmorras y vive una doble vida en este JRPG lleno de intriga y estilo."
42;"Destiny 2";"Bungie";1-6;FPS, MMO;16;PC, PS4, Xbox;2017;"Defiende la última ciudad segura de la Tierra como un Guardián, lucha contra alienígenas y completa misiones en este shooter en línea lleno de acción."
43;"Hollow Knight";"Team Cherry";1-1;Metroidvania;7;PC, PS4, Xbox, Switch;2017;"Embárcate en una búsqueda en un mundo subterráneo, derrota a criaturas extrañas y descubre los secretos de Hollow Knight en este juego de plataformas."
44;"Genshin Impact";"miHoYo";1-4;Action RPG;12;PC, PS4, Android, iOS;2020;"Explora el mundo de Teyvat, desbloquea personajes con habilidades únicas y completa misiones en este juego de acción y aventuras de mundo abierto."
45;"Rust";"Facepunch Studios";1-100;Survival;18;PC, PS4, Xbox;2013;"Sobrevive en un mundo abierto hostil, construye refugios, colabora con otros jugadores y enfréntate a peligros en este juego de supervivencia multijugador."
46;"Hitman 3";"IO Interactive";1-1;Acción, Sigilo;18;PC, PS5, Xbox;2021;"Encarna al Agente 47, un asesino a sueldo, y completa misiones en ubicaciones exóticas utilizando la creatividad y la astucia en este juego de sigilo."
47;"Phasmophobia";"Kinetic Games";1-4;Horror, VR;16;PC;2020;"Forma un equipo de investigadores paranormales y explora lugares embrujados en realidad virtual, utilizando herramientas para comunicarte con entidades sobrenaturales."
48;"Fallout 76";"Bethesda Game Studios";1-24;RPG, MMO;18;PC, PS4, Xbox;2018;"Explora un yermo postapocalíptico de Appalachia, construye bases, colabora con otros jugadores y enfrenta amenazas en este RPG en línea de la serie Fallout."
49;"The Forest";"Endnight Games";1-8;Survival, Horror;18;PC, PS4;2018;"Sobrevive en un bosque infestado de caníbales, construye refugios, explora cuevas y descubre la verdad detrás de la misteriosa desaparición de tu hijo."
50;"The Sims 4";"Maxis";1-4;Simulación;12;PC, PS4, Xbox;2014;"Crea y controla Sims, diseña hogares, desarrolla carreras y vive historias en este popular juego de simulación de vida cotidiana."
51;"NieR: Automata";"PlatinumGames";1-1;Action RPG;18;PC, PS4, Xbox;2017;"Embárcate en una emocionante aventura como los androides 2B y 9S, lucha contra máquinas y descubre una narrativa compleja en este juego de acción y rol."
52;"StarCraft II";"Blizzard Entertainment";1-8;Estrategia;12;PC;2010;"Comanda una de las tres razas en una lucha por la supremacía galáctica, participa en épicas batallas y estrategias en tiempo real en este juego de estrategia."
53;"Divinity: Original Sin 2";"Larian Studios";1-4;RPG, Estrategia;16;PC, PS4, Xbox, Switch;2017;"Forma un grupo de héroes, toma decisiones que afectan la historia y participa en combates tácticos por turnos en este RPG de fantasía."
54;"Cities: Skylines";"Colossal Order";1-1;Simulación;3;PC, PS4, Xbox, Switch;2015;"Construye y gestiona una ciudad, planifica infraestructuras, satisface las necesidades de los ciudadanos y enfrenta desafíos en este simulador de construcción de ciudades."
55;"RimWorld";"Ludeon Studios";1-1;Simulación, Estrategia;17;PC;2018;"Dirige a un grupo de colonos en un planeta alienígena, construye una colonia y gestiona los desafíos en este juego de construcción y gestión de colonias."
56;"DOOM (2016)";"id Software";1-1;FPS;18;PC, PS4, Xbox;2016;"Enfréntate a hordas demoníacas en Marte, utiliza armas poderosas y vive una experiencia frenética en este reinicio de la icónica serie de juegos de disparos."
57;"Rogue Company";"First Watch Games";1-4;Shooter, Multijugador;16;PC, PS4, Xbox, Switch;2020;"Forma parte de un equipo de mercenarios, utiliza tácticas y habilidades especiales en este juego de disparos en tercera persona centrado en el juego multijugador."
58;"Civilization VI";"Firaxis Games";1-12;Estrategia;12;PC, PS4, Xbox, Switch;2016;"Construye y guía una civilización desde la antigüedad hasta la era espacial, compite con otras culturas y toma decisiones estratégicas en este juego de estrategia por turnos."
59;"Fall Guys: Ultimate Knockout";"Mediatonic";1-60;Battle Royale;7;PC, PS4, Xbox, Switch;2020;"Compite en desafíos divertidos y caóticos con otros jugadores, supera obstáculos y sé el último en pie en este juego de Battle Royale con un enfoque divertido y colorido."
60;"Raft";"Redbeet Interactive";1-4;Aventura, Supervivencia;7;PC, PS4, Xbox;2018;"Sobrevive en un océano vasto, construye una balsa flotante, pesca y explora islas en este juego de supervivencia y aventuras en mundo abierto."
61;"Subnautica: Below Zero";"Unknown Worlds Entertainment";1-1;Aventura, Supervivencia;12;PC, PS4, PS5, Xbox, Switch;2021;"Explora las profundidades heladas de un planeta alienígena, descubre nuevas criaturas y sobrevive en este juego de aventuras submarinas."
62;"Crusader Kings III";"Paradox Development Studio";1-32;Estrategia;16;PC;2020;"Dirige tu dinastía en la Edad Media, forja alianzas, gestiona herencias y expande tu reino en este juego de estrategia grandioso."
63;"Control";"Remedy Entertainment";1-1;Acción-Aventura;16;PC, PS4, Xbox;2019;"Sumérgete en la Oficina Federal de Control, utiliza habilidades sobrenaturales y desentraña misterios en este juego de acción con elementos paranormales."
64;"Oxenfree";"Night School Studio";1-1;Aventura, Indie;12;PC, PS4, Xbox, Switch;2016;"Experimenta una historia sobrenatural en una isla desierta, toma decisiones que afectan la trama y descubre fenómenos paranormales en este juego indie cautivador."
65;"Disco Elysium";"ZA/UM";1-1;RPG;18;PC, PS4, Xbox, Switch;2019;"Asume el papel de un detective con amnesia, investiga un caso complejo, toma decisiones éticas y desentraña una ciudad llena de corrupción en este RPG narrativo."
66;"Slay the Spire";"MegaCrit";1-1;Roguelike, Estrategia;12;PC, PS4, Xbox, Switch;2017;"Construye un mazo poderoso, explora niveles generados proceduralmente y enfrenta a jefes desafiantes en este juego de cartas y estrategia."
67;"Darkest Dungeon";"Red Hook Studios";1-1;RPG, Estrategia;16;PC, PS4, Xbox, Switch;2016;"Dirige un grupo de héroes en una misión para liberar tu herencia ancestral, enfrenta horrores Lovecraftianos y gestiona el estrés de tus personajes en este RPG táctico."
68;"The Witness";"Jonathan Blow";1-1;Puzzle;3;PC, PS4, Xbox;2016;"Explora una isla misteriosa, resuelve acertijos ingeniosos y descubre los secretos de tu entorno en este juego de puzzle en primera persona."
69;"Terraria";"Re-Logic";1-8;Aventura, Sandbox;12;PC, PS4, Xbox, Switch;2011;"Excava, construye y lucha en un vasto mundo 2D, descubre tesoros y enfréntate a jefes en este juego de aventuras y sandbox."
70;"Dishonored 2";"Arkane Studios";1-1;Acción-Aventura, Sigilo;18;PC, PS4, Xbox;2016;"Elige entre dos personajes con habilidades sobrenaturales, toma decisiones que afectan el mundo y completa misiones en esta secuela del aclamado juego de sigilo."
71;"Factorio";"Wube Software";1-2;Estrategia, Simulación;12;PC;2020;"Construye y gestiona una fábrica automatizada, optimiza la producción y defiéndete de alienígenas en este juego de estrategia y simulación."
72;"Celeste";"Maddy Makes Games";1-1;Plataformas, Indie;7;PC, PS4, Xbox, Switch;2018;"Acompaña a Madeline en su viaje hacia la cima de la montaña Celeste, enfrenta desafíos y descubre una emotiva historia en este juego indie de plataformas."
73;"Hollow Knight: Silksong";"Team Cherry";1-1;Metroidvania, Acción;7;PC, Switch;2022;"Embárcate en una nueva aventura como Hornet, lucha contra enemigos desafiantes y explora un mundo subterráneo en esta secuela del aclamado Hollow Knight."
74;"Stellaris";"Paradox Development Studio";1-32;Estrategia, Grand Strategy;7;PC, PS4, Xbox;2016;"Gestiona un imperio interestelar, explora galaxias, establece alianzas y participa en épicas batallas espaciales en este juego de estrategia de gran alcance."
75;"Undertale";"Toby Fox";1-1;RPG, Indie;12;PC, PS4, Switch;2015;"Embárcate en una aventura única donde las decisiones importan, conoce personajes memorables y experimenta una historia encantadora en este RPG indie."
76;"Risk of Rain 2";"Hopoo Games";1-4;Roguelike, Shooter;12;PC, PS4, Xbox, Switch;2019;"Enfréntate a hordas de alienígenas, mejora tus habilidades y encuentra poderosos objetos en este juego de roguelike en tercera persona."
77;"A Short Hike";"Adam Robinson-Yu";1-1;Aventura, Indie;3;PC, Switch;2019;"Explora una isla tranquila, realiza actividades relajantes y descubre secretos en este juego indie de aventuras corto pero encantador."
78;"Gris";"Nomada Studio";1-1;Plataformas, Indie;3;PC, PS4, Switch;2018;"Acompaña a Gris en un viaje emocional a través de un mundo pintoresco, resuelve acertijos y experimenta una narrativa conmovedora en este juego indie."
79;"Firewatch";"Campo Santo";1-1;Aventura, Indie;16;PC, PS4, Xbox, Switch;2016;"Vive la historia de un vigilante del bosque, desarrolla relaciones a través de un walkie-talkie y descubre misterios en este juego de aventuras narrativas."
80;"Overcooked! All You Can Eat";"Ghost Town Games";1-4;Cooperativo, Simulación;3;PC, PS5, Xbox;2020;"Trabaja en equipo para preparar y servir platos en caóticas cocinas, enfrenta desafíos y diviértete en este juego cooperativo de simulación culinaria."
81;"The Outer Wilds";"Mobius Digital";1-1;Aventura, Indie;12;PC, PS4, Xbox;2019;"Explora un sistema solar en constante evolución, descubre secretos cósmicos y resuelve el misterio del ciclo temporal en este juego indie de exploración."
82;"Spiritfarer";"Thunder Lotus Games";1-2;Aventura, Indie;12;PC, PS4, Xbox, Switch;2020;"Guía a las almas hacia el más allá, construye y mejora tu barco, y experimenta una conmovedora historia en este juego de gestión y aventuras."
83;"Satisfactory";"Coffee Stain Studios";1-4;Estrategia, Simulación;12;PC;2020;"Construye fábricas enormes, automatiza la producción y explora un planeta alienígena en este juego de simulación y construcción en primera persona."
84;"Hades";"Supergiant Games";1-1;Roguelike, Acción;12;PC, PS5, Xbox, Switch;2020;"Desafía al inframundo, mejora tus habilidades y descubre la historia de Zagreus en este roguelike de acción con un estilo visual impresionante."
85;"The Forest";"Endnight Games";1-8;Survival, Horror;18;PC, PS4;2018;"Sobrevive en un bosque infestado de caníbales, construye refugios, explora cuevas y descubre la verdad detrás de la misteriosa desaparición de tu hijo."
86;"Carrion";"Phobia Game Studio";1-1;Acción, Indie;18;PC, PS4, Xbox, Switch;2020;"Embárcate en un juego de terror inverso, controla a una masa amorfa y devora a tus perseguidores en este juego de acción y horror indie."
87;"A Plague Tale: Innocence";"Asobo Studio";1-1;Acción-Aventura;18;PC, PS4, Xbox;2019;"Acompaña a Amicia y su hermano Hugo en una épica aventura durante la Peste Negra, enfrenta peligros y resuelve acertijos en este juego narrativo cautivador."
88;"Katana ZERO";"Askiisoft";1-1;Acción, Indie;16;PC, PS4, Xbox, Switch;2019;"Controla a un asesino con reflejos sobrenaturales, planifica tus movimientos y descubre una historia llena de giros en este juego de acción y plataformas."
89;"Graveyard Keeper";"Lazy Bear Games";1-1;Simulación, RPG;12;PC, PS4, Xbox, Switch;2018;"Gestiona un cementerio, interactúa con personajes peculiares y explora un mundo medieval en este juego de simulación y rol relajante."
90;"Outer Wilds";"Mobius Digital";1-1;Aventura, Exploración;12;PC, PS4, Xbox;2019;"Embárcate en un viaje cósmico, descubre secretos en un sistema solar en constante cambio y experimenta un bucle temporal en este juego de exploración."
91;"Frostpunk";"11 bit studios";1-1;Estrategia, Simulación;16;PC, PS4, Xbox;2018;"Dirige la última ciudad en la Tierra en un mundo congelado, toma decisiones difíciles y asegura la supervivencia en este juego de estrategia y gestión."
92;"Battlefield V";"EA DICE";1-64;FPS;18;PC, PS4, Xbox;2018;"Sumérgete en la Segunda Guerra Mundial, participa en batallas épicas y experimenta modos de juego intensos en este juego de disparos en primera persona."
93;"Rainbow Six: Extraction";"Ubisoft Montreal";1-3;FPS, Estrategia;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2022;"Enfrenta una amenaza alienígena, forma equipo con operadores especiales y participa en misiones tácticas en este juego de disparos cooperativo."
94;"Streets of Rage 4";"Dotemu";1-4;Brawler;12;PC, PS4, Xbox, Switch;2020;"Recorre las calles, lucha contra criminales y restaura la paz en este juego de acción y peleas callejeras que rinde homenaje a la clásica serie."
95;"Factorio";"Wube Software";1-2;Estrategia, Simulación;12;PC;2020;"Construye y gestiona una fábrica automatizada, optimiza la producción y defiéndete de alienígenas en este juego de estrategia y simulación."
96;"Forza Horizon 4";"Playground Games";1-72;Carreras;3;PC, Xbox;2018;"Experimenta emocionantes carreras en un mundo abierto dinámico, colecciona autos y compite en eventos en este juego de carreras aclamado."
97;"The Long Dark";"Hinterland Studio";1-1;Aventura, Supervivencia;16;PC, PS4, Xbox, Switch;2017;"Sobrevive en un mundo postapocalíptico cubierto de nieve, busca recursos, caza y enfrenta peligros en este juego de supervivencia en primera persona."
98;"Deep Rock Galactic";"Ghost Ship Games";1-4;FPS, Cooperativo;12;PC, Xbox;2020;"Forma parte de un equipo de enanos mineros espaciales, explora cuevas alienígenas, recolecta recursos y enfrenta criaturas en este juego cooperativo en primera persona."
99;"Dead Cells";"Motion Twin";1-1;Roguelike, Metroidvania;16;PC, PS4, Xbox, Switch;2018;"Explora castillos en constante cambio, derrota enemigos y mejora tus habilidades en este juego de acción roguelike con elementos de Metroidvania."
100;"A Way Out";"Hazelight Studios";1-2;Acción, Cooperativo;18;PC, PS4, Xbox;2018;"Embárcate en una experiencia cinematográfica, escapa de la prisión y realiza misiones cooperativas en este juego diseñado exclusivamente para el modo multijugador."
101;"Cuphead";"Studio MDHR";1-2;Plataformas;7;PC, Xbox, Switch;2017;"Embárcate en un viaje animado en este juego de plataformas con un estilo visual único inspirado en las caricaturas de los años 30, enfrentando a jefes desafiantes."
102;"Persona 5 Strikers";"Atlus";1-1;Musou, RPG;16;PC, PS4, Switch;2020;"Únete a los Phantom Thieves, lucha contra sombras en tiempo real y descubre una nueva amenaza en este juego de acción y rol de la serie Persona."
103;"Phasmophobia";"Kinetic Games";1-4;Horror, VR;16;PC;2020;"Forma un equipo de investigadores paranormales y explora lugares embrujados en realidad virtual, utilizando herramientas para comunicarte con entidades sobrenaturales."
104;"Battlefield 2042";"EA DICE";1-128;FPS;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2021;"Sumérgete en el conflicto del futuro, participa en batallas a gran escala y experimenta un nuevo enfoque en el modo multijugador en este juego de disparos en primera persona."
105;"Ghostrunner";"One More Level";1-1;Acción, Cyberpunk;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2020;"Corre por entornos futuristas, utiliza habilidades acrobáticas y enfrenta desafíos en este juego de acción en primera persona ambientado en un mundo cyberpunk."
106;"The Legend of Zelda: Tears of the kingdom";"Nintendo EPD";1-1;Acción-Aventura;12;Switch;2017;"Explora el vasto reino de Hyrule, resuelve acertijos, derrota a enemigos y descubre la historia de Link en este juego de aventuras de mundo abierto."
107;"Red Dead Redemption 1";"Rockstar Games";1-32;Acción-Aventura;18;PC, PS4, Xbox;2018;"Embárcate en una épica historia del salvaje oeste, caza, pesca, forma tu banda y vive una vida de forajido en este juego de acción y aventuras."
108;"Halo Infinite";"343 Industries";1-24;FPS;18;PC, Xbox, Xbox Series X/S;2021;"Vuelve al universo de Halo, enfrenta a la Alianza y vive la siguiente entrega de la icónica saga en este juego de disparos en primera persona."
109;"Outer Wilds";"Mobius Digital";1-1;Aventura, Exploración;12;PC, PS4, Xbox;2019;"Embárcate en un viaje cósmico, descubre secretos en un sistema solar en constante cambio y experimenta un bucle temporal en este juego de exploración."
110;"The Witness";"Jonathan Blow";1-1;Puzzle;3;PC, PS4, Xbox;2016;"Explora una isla misteriosa, resuelve acertijos ingeniosos y descubre los secretos de tu entorno en este juego de puzzle en primera persona."
111;"Frostpunk";"11 bit studios";1-1;Estrategia, Simulación;16;PC, PS4, Xbox;2018;"Dirige la última ciudad en la Tierra en un mundo congelado, toma decisiones difíciles y asegura la supervivencia en este juego de estrategia y gestión."
112;"Battlefield Hardline";"Visceral Games";1-64;FPS;18;PC, PS4, Xbox;2015;"Experimenta un enfoque policial en la serie Battlefield, lucha contra el crimen y participa en intensas batallas en este juego de disparos en primera persona."
113;"Hunt: Showdown";"Crytek";1-12;FPS, Caza;18;PC, PS4, Xbox;2019;"Conviértete en un cazador de monstruos en el bayou, lucha contra criaturas aterradoras y compite contra otros jugadores en este juego de disparos en primera persona."
114;"RimWorld";"Ludeon Studios";1-1;Simulación, Estrategia;17;PC;2018;"Dirige a un grupo de colonos en un planeta alienígena, construye una colonia y gestiona los desafíos en este juego de construcción y gestión de colonias."
115;"DOOM Eternal";"id Software";1-1;FPS;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2020;"Enfréntate a hordas demoníacas en la Tierra y más allá, utiliza nuevas armas y habilidades en este juego de disparos en primera persona cargado de acción."
116;"Planet Zoo";"Frontier Developments";1-1;Simulación, Estrategia;3;PC;2019;"Construye y gestiona un zoológico, cuida de los animales, satisface a los visitantes y participa en la conservación en este juego de simulación y estrategia."
117;"Wasteland 3";"inXile Entertainment";1-6;RPG, Estrategia;18;PC, PS4, Xbox;2020;"Dirige a un escuadrón en un mundo postapocalíptico, toma decisiones morales y enfrenta desafíos tácticos en este juego de rol y estrategia."
118;"Soma";"Frictional Games";1-1;Horror, Aventura;16;PC, PS4, Xbox;2015;"Explora una instalación submarina, enfrenta a seres desconcertantes y descubre los misterios de la conciencia en este juego de terror psicológico."
119;"Nioh 2";"Team Ninja";1-3;Action RPG;18;PC, PS4, PS5;2020;"Embárcate en una historia samurái sobrenatural, enfrenta a demonios y personaliza tu personaje en este juego de acción y rol desafiante."
120;"Stardew Valley";"ConcernedApe";1-4;Simulación, RPG;7;PC, PS4, Xbox, Switch;2016;"Herencia una granja, cultiva cosechas, haz amistad con los habitantes del pueblo y vive una vida rural relajada en este juego de simulación y rol."
121;"Monster Hunter Rise";"Capcom";1-4;Acción, RPG;12;Switch;2021;"Únete a la Cacería, caza monstruos, forja equipo y explora un nuevo mundo en este juego de acción y rol de la popular serie Monster Hunter."
122;"Resident Evil Village";"Capcom";1-1;Survival Horror;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2021;"Vive el horror en una aldea misteriosa, enfrenta criaturas aterradoras y descubre los secretos de la saga en este juego de survival horror."
123;"Cyberpunk 2077";"CD Projekt";1-1;RPG, Mundo Abierto;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2020;"Explora Night City, personaliza tu personaje, realiza misiones y descubre una historia futurista en este juego de rol de mundo abierto."
124;"It Takes Two";"Hazelight Studios";1-2;Acción, Cooperativo;12;PC, PS4, PS5, Xbox, Xbox Series X/S;2021;"Embárcate en una aventura cooperativa, resuelve acertijos y descubre una historia emotiva en este juego diseñado exclusivamente para el modo multijugador."
125;"Assassin's Creed Valhalla";"Ubisoft Montreal";1-1;Acción-Aventura;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2020;"Explora la era vikinga, lidera saqueos, construye tu asentamiento y vive la historia de Eivor en este juego de acción y aventuras."
